state,group,county,dem_08_votes,dem_12_votes,rep_08_votes,rep_12_votes
CA,"San Francisco-Oakland-San Jose, CA",Alameda County,613195,489106,469684,119555
CA,"San Francisco-Oakland-San Jose, CA",Santa Clara County,659148,462241,450818,190039
CA,"San Francisco-Oakland-San Jose, CA",San Francisco County,365295,322220,301723,52292
FL,"Tampa-St. Petersburg, FL",Hillsborough County,595072,272963,286467,236355
FL,"Tampa-St. Petersburg, FL",Pinellas County,491520,248299,239104,210066
IA,"Ceder Rapids-Waterloo-Iowa City-Dublin, Iowa",Washington County,10824,5170,5115,5247
IA,"Ceder Rapids-Waterloo-Iowa City-Dublin, Iowa",Linn County,114664,68037,68581,43626
IA,"Ceder Rapids-Waterloo-Iowa City-Dublin, Iowa",Johnson County,75637,51027,50666,20732
IA,"Ceder Rapids-Waterloo-Iowa City-Dublin, Iowa",Black Hawk County,63221,39184,39821,24662
IA,"Des Moines-Ames, Iowa",Des Moines County,18713,12462,11888,7721
IA,"Des Moines-Ames, Iowa",Story County,48910,26548,26192,18995
NV,"Las Vegas, NV",Clark County,765421,380765,389936,257078
NH,"Boston, MA/Manchester, NH",Hillsborough County,210844,104820,102303,97178
NC,"Raleigh-Durham-Fayetteville, NC",Durham County,150543,103456,111224,32353
NC,"Raleigh-Durham-Fayetteville, NC",Cumberland County,124402,74693,75792,52151
NC,"Raleigh-Durham-Fayetteville, NC",Wake County,510940,250891,267262,187001
OH,"Cleveland, Ohio",Cuyahoga County,583230,458422,447273,199880
PA,"Philadelphia, PA",Philadelphia County,680227,595980,588806,117221
WI,"Milwaukee, WI",Milwaukee County,434970,319819,332438,149445
MA,"Boston, MA/Manchester, NH",Suffolk County,303517,207128,223896,57194
Iowa,Woodbury County,,21983,22302,22219,21841
SC,"Columbia, SC",Richland County,105656,103989,57941,53105
